Brand,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,Seats,PriceEuro,RapidCharge
Tesla ,4.6,233,450,161,940,5,55480,Yes
Volkswagen ,10,160,270,167,250,5,30000,Yes
Polestar ,4.7,210,400,181,620,5,56440,Yes
BMW ,6.8,180,360,206,560,5,68040,Yes
Honda ,9.5,145,170,168,190,4,32997,Yes
Lucid ,2.8,250,610,180,620,5,105000,Yes
Volkswagen ,9.6,150,190,168,220,5,31900,Yes
Peugeot ,8.1,150,275,164,420,5,29682,Yes
Tesla ,5.6,225,310,153,650,5,46380,Yes
Audi ,6.3,180,400,193,540,5,55000,Yes
Mercedes ,5.1,180,370,216,440,5,69484,Yes
Nissan ,7.9,144,220,164,230,5,29234,Yes
Hyundai ,7.9,167,400,160,380,5,40795,Yes
BMW ,4,200,450,178,650,5,65000,Yes
Hyundai ,9.7,165,250,153,210,5,34459,Yes
Volkswagen ,7.9,160,440,175,590,4,40936,Yes
Porsche ,2.8,260,375,223,780,4,180781,Yes
Volkswagen ,11.9,130,195,166,170,4,21421,Yes
MG ,8.2,140,220,193,260,5,30000,Yes
Mini ,7.3,150,185,156,260,4,31681,Yes
Opel ,8.1,150,275,164,420,5,29146,Yes
Tesla ,5.1,217,425,171,930,7,58620,Yes
Skoda ,10,160,290,179,230,5,35000,Yes
Audi ,3.5,240,425,197,850,4,125000,Yes
Tesla ,3.4,261,435,167,910,5,61480,Yes
Volkswagen ,7.5,160,420,183,560,5,45000,Yes
Volkswagen ,9,160,350,166,490,5,33000,Yes
Volvo ,4.9,180,375,200,470,5,60437,Yes
BMW ,7.3,150,235,161,270,4,38017,Yes
Peugeot ,8.5,150,250,180,380,5,34361,Yes
Audi ,6.8,190,280,231,450,5,67358,Yes
Kia ,7.8,167,370,173,350,5,38105,Yes
Renault ,11.4,135,315,165,230,5,31184,Yes
Tesla ,3,210,750,267,710,6,75000,Yes
Mazda ,9,150,180,178,240,5,32646,Yes
Nissan ,7.3,157,325,172,390,5,37237,Yes
Lexus ,7.5,160,270,193,190,5,50000,Yes
CUPRA ,6.5,160,425,181,570,4,45000,Yes
Renault ,9.5,140,310,168,230,5,33133,Yes
Mercedes ,5,200,350,171,440,5,45000,Yes
Tesla ,3.8,250,515,184,560,5,79990,Yes
Hyundai ,9.9,155,255,154,210,5,33971,Yes
Audi ,5.7,200,380,228,610,5,81639,Yes
Skoda ,12.3,130,195,166,170,4,24534,Yes
SEAT ,12.3,130,195,166,170,4,20129,Yes
Kia ,7.9,167,365,175,340,5,36837,Yes
Opel ,7.3,150,335,173,210,5,41906,Yes
Porsche ,4,250,365,195,730,4,102945,Yes
Lightyear ,10,150,575,104,540,5,149000,Yes
Aiways ,9,150,335,188,350,5,36057,Yes
Audi ,5.7,200,365,237,590,5,79445,Yes
Tesla ,2.1,410,970,206,920,4,215000,Yes
Opel ,8.5,150,255,176,390,5,35000,Yes
Skoda ,8.8,160,420,183,560,5,40000,Yes
Tesla ,4.6,250,450,211,490,7,85990,Yes
Honda ,8.3,145,170,168,190,4,35921,Yes
DS ,8.7,150,250,180,380,5,37422,Yes
Renault ,12.6,135,130,164,-,4,24790,No
Citroen ,9.7,150,250,180,380,5,40000,Yes
Tesla ,2.5,261,505,188,550,5,96990,Yes
Renault ,11.4,135,255,161,230,5,29234,Yes
Tesla ,3.7,241,410,177,900,7,65620,Yes
Nissan ,7.6,160,440,198,520,5,50000,Yes
Jaguar ,4.8,200,365,232,340,5,75351,Yes
Ford ,7,180,450,200,430,5,54475,Yes
Porsche ,4,250,425,197,890,4,109302,Yes
Nissan ,14,123,190,200,190,7,33246,Yes
Tesla ,5,190,460,261,710,6,55000,Yes
Renault ,22.4,130,160,194,-,5,38000,No
Ford ,6,180,430,209,410,5,62900,Yes
BMW ,6.9,160,230,165,260,4,41526,Yes
Skoda ,7,160,400,193,540,5,45000,Yes
Porsche ,3.5,250,385,217,770,4,150000,Yes
Byton ,5.5,190,390,244,460,5,64000,Yes
Sono ,9,140,225,156,270,5,25500,Yes
Kia ,9.8,155,235,167,230,5,34400,Yes
Audi ,6.3,180,410,188,550,5,57500,Yes
Smart ,12.7,130,95,176,-,4,22030,No
Ford ,6,180,340,206,360,5,54000,Yes
Porsche ,3.2,260,390,215,810,4,148301,Yes
Volkswagen ,7.3,160,340,171,470,5,38987,Yes
Tesla ,2.8,250,440,216,480,7,102990,Yes
Smart ,11.6,130,100,167,-,2,21387,No
Ford ,6.6,180,360,194,380,5,46900,Yes
Mercedes ,10,140,330,273,290,7,70631,Yes
Fiat ,9,150,250,168,330,4,34900,Yes
Tesla ,7,180,390,256,740,6,45000,Yes
Audi ,6.8,190,295,219,470,5,69551,Yes
Skoda ,6.2,180,400,193,540,5,47500,Yes
Skoda ,9,160,320,181,440,5,37500,Yes
Audi ,4.5,210,320,270,510,5,93800,Yes
Smart ,11.9,130,95,176,-,2,24565,No
Kia ,7.9,167,365,175,320,5,36837,Yes
Nissan ,5.7,200,420,207,500,5,57500,Yes
Fiat ,9,150,250,168,330,4,37900,Yes
Volkswagen ,7.3,160,340,171,470,5,35575,Yes
Kia ,9.9,157,230,170,220,5,33133,Yes
Byton ,7.5,190,325,222,420,5,53500,Yes
Nissan ,7.5,160,330,191,440,5,45000,Yes
Audi ,4.5,210,335,258,540,5,96050,Yes
Nissan ,5.9,200,325,194,440,5,50000,Yes
Nissan ,5.1,200,375,232,450,5,65000,Yes
Byton ,7.5,190,400,238,480,5,62000,Yes
