Date,Open,High,Low,Close,Volume,Year
26-05-2008,898,898,551.35,604.75,3972485,2008
27-05-2008,624.7,639,580.3,593.15,1751063,2008
28-05-2008,561.65,621.9,561.65,608.15,1652355,2008
29-05-2008,619.4,619.4,576,599.45,669269,2008
30-05-2008,605.4,607,538,571.7,1262117,2008
02-06-2008,605.5,615,570.7,580.8,206640,2008
03-06-2008,596,602,555.15,579.7,157283,2008
04-06-2008,597.85,597.85,547.5,552.1,326450,2008
05-06-2008,553,588.8,532.4,562.4,238915,2008
06-06-2008,567,574.7,544.4,568.8,73920,2008
09-06-2008,575,575,524,548.8,321199,2008
10-06-2008,575.5,575.5,547,550.4,58118,2008
11-06-2008,560,560,528,530.5,87793,2008
12-06-2008,511,527,510.7,519.45,50729,2008
13-06-2008,514.25,525,501.2,505.9,123934,2008
16-06-2008,510,518,489.45,494.65,61592,2008
17-06-2008,490.45,510,482.6,506.7,71476,2008
18-06-2008,510.1,531,500,516.45,105505,2008
19-06-2008,500.2,527,500.2,512.55,140483,2008
20-06-2008,507,519,493.6,512.1,76656,2008
23-06-2008,500,514.9,499,502.3,89888,2008
24-06-2008,495,506,471.15,479,174131,2008
25-06-2008,450,502,450,497.3,72533,2008
26-06-2008,519.9,519.9,469.05,488.95,185234,2008
27-06-2008,465.9,476.85,435,453.95,260609,2008
30-06-2008,454,459.95,445.35,450.35,115006,2008
01-07-2008,450,457,433,447.1,170197,2008
02-07-2008,430.15,457.95,430.15,453.5,245296,2008
03-07-2008,445,448,390.15,408.6,308168,2008
04-07-2008,403.5,433,401,421,62087,2008
07-07-2008,425,441,425,435.5,130708,2008
08-07-2008,418.1,439.9,414,434.5,262122,2008
09-07-2008,446,456.9,440,451.75,104747,2008
10-07-2008,450,532,441.05,498.45,247021,2008
11-07-2008,508,508.1,482,499.95,135338,2008
14-07-2008,515,515,481,501.65,110414,2008
15-07-2008,480.35,497.8,477,479.85,44758,2008
16-07-2008,500,500,444.15,455,412815,2008
17-07-2008,475,484.95,461,467.6,124802,2008
18-07-2008,461,473,455,464.1,71613,2008
21-07-2008,474,505,470,498.9,323713,2008
22-07-2008,490.15,504,485.05,495.05,25042,2008
23-07-2008,514.15,529,498,519,116969,2008
24-07-2008,506.2,534,506.2,520.65,26647,2008
25-07-2008,503.25,525,503.25,509.95,54204,2008
28-07-2008,500.25,524.7,500.25,515.55,30877,2008
29-07-2008,506,515,501.35,509.4,9914,2008
30-07-2008,483.95,524.95,483.95,519.75,8670,2008
31-07-2008,501.15,539,494.6,533.7,44391,2008
01-08-2008,516,532.9,507,517.65,238858,2008
04-08-2008,510.05,524,510,519,14815,2008
05-08-2008,505.7,530,501,526.6,585044,2008
06-08-2008,525.1,571.4,525.1,562.25,107023,2008
07-08-2008,566,574.4,545,560.05,55986,2008
08-08-2008,551.2,569,548,551.9,15983,2008
11-08-2008,554,577,552,569.35,24326,2008
12-08-2008,569.85,574.9,548.5,553.35,16393,2008
13-08-2008,543,575,542.25,570.9,27582,2008
14-08-2008,562.05,571,555.15,565.85,132460,2008
18-08-2008,554.85,560,532.95,551.4,104270,2008
19-08-2008,554.8,554.85,532.25,547.45,20292,2008
20-08-2008,537.15,573,537.15,544.25,25318,2008
21-08-2008,535,555,512,520.15,18332,2008
22-08-2008,506.1,543,506.1,531.85,167796,2008
25-08-2008,570,570,527.15,541.9,38359,2008
26-08-2008,541,550,530.1,549.05,410862,2008
27-08-2008,554.9,585,548.8,578.8,473832,2008
28-08-2008,576,590,564,583.7,371006,2008
29-08-2008,578,590.25,568.7,588.2,133642,2008
01-09-2008,584.3,590,572.65,585.8,166626,2008
02-09-2008,594.3,608,587,603.05,331224,2008
04-09-2008,593.6,618,590,610.3,238887,2008
05-09-2008,609.55,614.95,591.15,606.95,126692,2008
08-09-2008,612,618.9,596.05,598.9,24334,2008
09-09-2008,587.15,605,585.2,592.15,39601,2008
10-09-2008,590,624.9,587.3,619.6,217186,2008
11-09-2008,616,622,610,617.2,285350,2008
12-09-2008,619.95,641.9,607.6,632.4,237619,2008
15-09-2008,606.7,624.45,606.7,615.25,79035,2008
16-09-2008,605.25,622.5,602,620.5,71804,2008
17-09-2008,609.1,625,587.1,608.55,96066,2008
18-09-2008,572,629.5,559,617.15,151516,2008
19-09-2008,625,625,602.3,607.8,269723,2008
22-09-2008,606,618.95,603,607.5,60266,2008
23-09-2008,611.8,611.8,587.25,605.8,164644,2008
24-09-2008,593.5,611,561.1,581.4,228942,2008
25-09-2008,569.95,609.9,561.5,598.75,91059,2008
26-09-2008,586.5,599.8,586.5,591.6,114852,2008
29-09-2008,590,597.85,559,571,101895,2008
30-09-2008,548,609.9,535.25,594.9,260167,2008
01-10-2008,601,617,571.3,600.05,54337,2008
03-10-2008,581.35,598.7,570.25,576.95,54130,2008
06-10-2008,556,600,556,574.3,153780,2008
07-10-2008,579.05,601,560.2,582.65,46113,2008
08-10-2008,555,571.95,496,544.15,86133,2008
10-10-2008,501.1,524.9,425,462.65,208322,2008
13-10-2008,457,527.9,450,514.5,153103,2008
14-10-2008,527,590.65,525,540.6,183201,2008
15-10-2008,523.05,545,459.5,529.2,156439,2008
16-10-2008,499.3,550,499.3,535.45,179097,2008
17-10-2008,515.15,549.85,507,523.65,25061,2008
20-10-2008,544,560,511.4,541.5,176178,2008
21-10-2008,536,565,533.8,560.9,15724,2008
22-10-2008,543.5,563.9,524.95,538.75,31760,2008
23-10-2008,526,544.8,502,529.95,22196,2008
24-10-2008,516.05,526,456.05,464.9,232905,2008
27-10-2008,455.05,480,435,468.2,200647,2008
28-10-2008,551.9,551.9,485,505.35,4966,2008
29-10-2008,507,555,481,531.05,106956,2008
31-10-2008,555,563,535.2,544.9,691150,2008
03-11-2008,550,550,495,498.45,1066998,2008
04-11-2008,500,507,455,469.7,341268,2008
05-11-2008,480,480,440.6,444.5,130247,2008
06-11-2008,435,435,410,416.95,264965,2008
07-11-2008,420,423.6,409,410.25,155936,2008
10-11-2008,416,434.5,415.25,425.85,72681,2008
11-11-2008,425,425,392,403.35,112399,2008
12-11-2008,404,406.65,366.1,378.95,105527,2008
14-11-2008,404,404,366,371.15,547474,2008
17-11-2008,371,371,355,359.95,19552,2008
18-11-2008,364.9,375,342,353.85,22889,2008
19-11-2008,350,368,345,365.05,30174,2008
20-11-2008,360,364,333,344.95,409423,2008
21-11-2008,342,343,332.95,339.05,31399,2008
24-11-2008,350,354,322.25,330.15,31560,2008
25-11-2008,354,354,313.6,317.85,351766,2008
26-11-2008,329.8,334.9,305.5,328.75,128039,2008
28-11-2008,307,329.65,307,321.65,133112,2008
01-12-2008,324.05,327.15,299,308.05,54065,2008
02-12-2008,262,307.05,262,301.9,94917,2008
03-12-2008,311.9,311.9,296,303.8,43065,2008
04-12-2008,304.8,316.5,304.8,310.65,66125,2008
05-12-2008,306.2,316.75,306.2,314.95,35909,2008
08-12-2008,330.7,340.9,322.3,332.6,35849,2008
10-12-2008,339.75,351,325.1,339.8,236991,2008
11-12-2008,335.35,358,335.35,355.15,62140,2008
12-12-2008,353,417,336.25,391.7,407966,2008
15-12-2008,419,419,395.05,410.35,169800,2008
16-12-2008,400,440,396.25,413.2,128335,2008
17-12-2008,420.95,429,385.2,396.35,275062,2008
18-12-2008,382.3,418.85,382.3,410.75,105636,2008
19-12-2008,408,421.75,400.1,404.3,23434,2008
22-12-2008,412,420,403.05,413.7,57361,2008
23-12-2008,402.5,414,402.5,408.15,15624,2008
24-12-2008,396.5,403,390,394.6,101475,2008
26-12-2008,388.5,396,370,375.3,70943,2008
29-12-2008,389,389,360.45,370,136120,2008
30-12-2008,397,397,374,387.05,48801,2008
31-12-2008,390.05,397.9,382,391.1,53900,2008
01-01-2009,407,411,377,409.75,116672,2009
02-01-2009,409.4,420,398,415.8,114432,2009
05-01-2009,411.15,475.7,411.15,440.15,86312,2009
06-01-2009,430.25,440,424,434.7,375475,2009
07-01-2009,432,439.9,403.25,407.25,79083,2009
09-01-2009,390,439.7,390,427.7,26601,2009
12-01-2009,411.25,436,411.25,427.7,68862,2009
13-01-2009,448.4,448.4,425.25,435.3,50078,2009
14-01-2009,436,440,431,438.05,30391,2009
15-01-2009,425,448.8,425,443.65,102825,2009
16-01-2009,426,479.9,425,461.85,451327,2009
19-01-2009,480,503.25,465,499,281503,2009
20-01-2009,490,490,452,456.45,1011320,2009
21-01-2009,458.2,458.2,440.15,453.2,49893,2009
22-01-2009,468,477.7,455.9,472.25,68680,2009
23-01-2009,464.05,475,447.9,457.55,38565,2009
27-01-2009,450.05,465.95,447,453.1,70612,2009
28-01-2009,455,468,451.2,462.3,13890,2009
29-01-2009,470,487.95,458,477.55,76865,2009
30-01-2009,472.5,484.65,462.85,474.75,38068,2009
02-02-2009,470,493.7,463.05,466.45,49978,2009
03-02-2009,467,475,444.2,459.9,39896,2009
04-02-2009,474,474,451.1,457.2,7603,2009
05-02-2009,453,460,441.15,456.45,17226,2009
06-02-2009,446.1,460,446.1,454.85,21145,2009
09-02-2009,459,462.85,446.3,458.4,46483,2009
10-02-2009,469.85,477,462.35,466.55,28978,2009
11-02-2009,456.1,468.7,454.05,456.4,17775,2009
12-02-2009,460,484,454.2,478.25,189700,2009
13-02-2009,483,490,472.2,476.2,36817,2009
